"","Var1","Freq"
"1147","TNRC18",1
"1148","TOMM70",1
"1149","TOP3B",1
"1150","TOPORS",1
"1151","TPBGL",1
"1152","TPCN2",1
"1154","TPD52L1",1
"1155","TPD52L2",1
"1156","TPH2",1
"1157","TRAM1",1
"1158","TRIM44",1
"1159","TRIM58",1
"1160","TRIO",1
"1161","TRMT10C",1
"1162","TRMT11",1
"1163","TRPA1",1
"1165","TSHZ2",1
"1166","TSPAN10",1
"1169","TSPAN8",1
"1170","TTC26",1
"1171","TTLL13P",1
"1172","TUFT1",1
"1173","TUSC1",1
"1174","TXNDC17",1
"1175","TXNDC5",1
"1176","TYMP",1
"1177","TYRO3P",1
"1178","UBE2Q2",1
"1180","UBE2Z",1
"1181","UBN2",1
"1182","UCKL1",1
"1183","UCKL1-AS1",1
"1184","UCP2",1
"1185","UCP3",1
"1186","UNC45A",1
"1187","UQCC1",1
"1188","USP15",1
"1189","USP42",1
"1190","USP43",1
"1191","UTS2R",1
"1192","VAPB",1
"1193","VCPIP1",1
"1194","VPREB1",1
"1195","VPS33B",1
"1196","VPS33B-DT",1
"1197","VPS37D",1
"1198","VPS72",1
"1199","VXN",1
"1200","WARS2",1
"1201","WARS2-AS1",1
"1202","WARS2-IT1",1
"1203","WDR19",1
"1204","WDR45B",1
"1205","WDR93",1
"1206","WIF1",1
"1207","WIPI2",1
"1208","XAF1",1
"1209","XKR9",1
"1210","XPOT",1
"1211","XRRA1",1
"1213","YTHDF1",1
"1214","YWHAG",1
"1216","ZBTB11",1
"1217","ZBTB39",1
"1218","ZBTB46",1
"1219","ZBTB46-AS1",1
"1220","ZC2HC1A",1
